"Source:";"/home/andrea/Development/github/Commodore64C/250469-RevA/C64C-250469-01-A.sch"
"Date:";"Sun 10 May 2020 06:31:55 PM CEST"
"Tool:";"Eeschema 5.1.5"
"Generator:";"/home/andrea/Apps/kicad/plugins/bom_csv_sc_grouped_by_value_with_fp.py"
"Component Count:";"131"
"Ref";"Qnty";"Value";"Cmp name";"Footprint";"Description";"Vendor"
"C1, C7, C28, C29, C30, C34, C35, C37, C39, C40, C47, C48, C55, C56, C61, C69, C79, C84, ";"18";"0.1u";"C";"Capacitor_THT:C_Disc_D4.7mm_W2.5mm_P5.00mm";"Unpolarized capacitor";""
"C2, C3, C4, C6, C76, C90, ";"6";"470p";"C";"Capacitor_THT:C_Disc_D4.7mm_W2.5mm_P5.00mm";"Unpolarized capacitor";""
"C36, ";"1";"47u/16V";"CP";"Capacitor_THT:CP_Radial_D8.0mm_P5.00mm";"Polarized capacitor";""
"C43, ";"1";"220u";"CP";"Capacitor_THT:CP_Radial_D8.0mm_P5.00mm";"Polarized capacitor";""
"C44, ";"1";"2.2u";"CP";"Capacitor_THT:CP_Radial_D8.0mm_P5.00mm";"Polarized capacitor";""
"C58, ";"1";"100u/16V";"CP";"Capacitor_THT:CP_Radial_D10.0mm_P5.00mm";"Polarized capacitor";""
"C59, ";"1";"4.7u";"CP";"Capacitor_THT:CP_Radial_D8.0mm_P5.00mm";"Polarized capacitor";""
"C63, ";"1";"1000u/16V";"CP";"Capacitor_THT:CP_Axial_L30.0mm_D15.0mm_P35.00mm_Horizontal";"Polarized capacitor";""
"C65, ";"1";"220u";"CP";"Capacitor_THT:CP_Radial_D10.0mm_P5.00mm";"Polarized capacitor";""
"C66, ";"1";"330u/35V";"CP";"Capacitor_THT:CP_Radial_D12.5mm_P5.00mm";"Polarized capacitor";""
"C70, C71, ";"2";"22n";"C";"Capacitor_THT:C_Disc_D4.7mm_W2.5mm_P5.00mm";"Unpolarized capacitor";""
"C74, ";"1";"1000p";"C";"Capacitor_THT:C_Disc_D4.7mm_W2.5mm_P5.00mm";"Unpolarized capacitor";""
"C77, ";"1";"10u";"CP";"Capacitor_THT:CP_Radial_D10.0mm_P5.00mm";"Polarized capacitor";""
"C80, C81, ";"2";"2200p";"C";"Capacitor_THT:C_Disc_D4.7mm_W2.5mm_P5.00mm";"Unpolarized capacitor";""
"C86, C87, C88, ";"3";"220p";"C";"Capacitor_THT:C_Disc_D4.7mm_W2.5mm_P5.00mm";"Unpolarized capacitor";""
"C94, ";"1";"150p";"C";"Capacitor_THT:C_Disc_D4.7mm_W2.5mm_P5.00mm";"Unpolarized capacitor";""
"CB1, ";"1";"SW_DPDT";"SW_DPDT";"250469-01:RockerSwitch_CuK_DPDT_E201J1AV2";"Rocker Switch, dual pole double throw, on-on";""
"CT1, ";"1";"7.7-40p";"CTRIM";"krl_Capacitor_THT:C_Trimmer_JML_JML06_P5mm";"Trimmable capacitor";""
"D1, ";"1";"RD6.8EB";"RD6.8EB";"Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal";"500mW Zener Diode, 6.8V, DO-35";""
"D2, ";"1";"2W02G-E4/51";"D_Bridge_+A-A";"Diode_THT:Diode_Bridge_Round_D9.8mm";"Diode bridge, +ve/AC/-ve/AC";""
"D3, D4, ";"2";"1N4001";"1N4001";"Diode_THT:D_DO-41_SOD81_P5.08mm_Vertical_KathodeUp";"50V 1A General Purpose Rectifier Diode, DO-41";""
"D5, D9, D11, D12, D13, D14, D15, D16, D17, D18, D19, D20, D21, ";"13";"1N914";"1N914";"Diode_THT:D_DO-35_SOD27_P5.08mm_Vertical_KathodeUp";"100V 0.3A Small Signal Fast Switching Diode, DO-35";""
"D6, ";"1";"RD3.0EB1";"RD3.0EB1";"Diode_THT:D_DO-35_SOD27_P5.08mm_Vertical_KathodeUp";"500mW Zener Diode, 3V, DO-35";""
"D7, ";"1";"RD10ESB2";"RD10ESB2";"Diode_THT:D_DO-34_SOD68_P5.08mm_Vertical_KathodeUp";"400mW Zener Diode, 10V, DO-34";""
"F1, ";"1";"1.5A";"Fuse";"250469-01:Fuseclip_Cylinder-6.3x32mm";"Fuse";""
"FB1, ";"1";"2 Turns";"Ferrite_Bead";"250469-01:L_Axial_Dual_L7.0mm_D3.3mm_P5.08mm_Vertical";"Ferrite bead";""
"FB2, FB3, FB4, ";"3";"Ferrite_Bead_Small";"Ferrite_Bead_Small";"Inductor_THT:L_Axial_L7.0mm_D3.3mm_P5.08mm_Vertical_Fastron_MICC";"Ferrite bead, small symbol";""
"FL1, FL2, FL3, FL4, FL5, FL6, FL7, FL8, FL9, ";"9";"270p";"EMI_Filter_LCL";"krl_Filter:LCL-Filter_2.8x8.5mm_P2.5mm";"EMI T-filter (LCL)";""
"J1, ";"1";"Conn_01x20_Male";"Conn_01x20_Male";"Connector_PinHeader_2.54mm:PinHeader_1x20_P2.54mm_Vertical";"Generic connector, single row, 01x20, script generated (kicad-library-utils/schlib/autogen/connector/)";""
"J2, ";"1";"Conn_02x12_Edge";"Conn_02x12_Edge";"250469-01:Connector_Edge_2x12_P3.96mm";"Edge connector, double side, 02x12";""
"J3, ";"1";"Conn_02x6_Edge";"Conn_02x6_Edge";"250469-01:Connector_Edge_2x6_P3.96mm";"Edge connector, double side, connected sides, 02x6";""
"J4, ";"1";"DIN-6";"DIN-6";"krl_Connector_DIN:CUI-Devices_SDS-60J_DIN-6_Circular";"6-pin DIN connector";""
